filename,path,category,model_id,mass,scale,object_file,num_grasps,success_rate,mean_quality,max_quality,scale_suspect
Battery_1d8fb5872696c64b62fb74d013fec4f1_0.10155805461030812.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_1d8fb5872696c64b62fb74d013fec4f1_0.10155805461030812.h5,Battery,1d8fb5872696c64b62fb74d013fec4f1,0.0761004142,0.1015580546,meshes/Battery/1d8fb5872696c64b62fb74d013fec4f1.obj,2000,0.621,0.5359049238248761,0.9824554585280584,False
Battery_351927882f2dcd2b3a7b57717d183d7e_0.08675805776783493.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_351927882f2dcd2b3a7b57717d183d7e_0.08675805776783493.h5,Battery,351927882f2dcd2b3a7b57717d183d7e,0.0796366843,0.0867580578,meshes/Battery/351927882f2dcd2b3a7b57717d183d7e.obj,2000,0.8955,0.670711587842356,0.9836476501895496,False
Battery_3f16a24e0f77a392f7aa33a9774f16af_0.06127981241086159.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_3f16a24e0f77a392f7aa33a9774f16af_0.06127981241086159.h5,Battery,3f16a24e0f77a392f7aa33a9774f16af,0.0971298651,0.0612798124,meshes/Battery/3f16a24e0f77a392f7aa33a9774f16af.obj,2000,0.525,0.4030079870222818,0.9691375828487012,False
Battery_55bd81649a4685ebca46627d6e5395f5_0.0008761080206470707.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_55bd81649a4685ebca46627d6e5395f5_0.0008761080206470707.h5,Battery,55bd81649a4685ebca46627d6e5395f5,0.3427023931,0.000876108,meshes/Battery/55bd81649a4685ebca46627d6e5395f5.obj,2000,0.0145,0.0133646869595158,0.9636611341852396,True
Battery_62733b55e76a3b718c9d9ab13336021b_0.0509487988954487.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_62733b55e76a3b718c9d9ab13336021b_0.0509487988954487.h5,Battery,62733b55e76a3b718c9d9ab13336021b,0.008844985,0.0509487989,meshes/Battery/62733b55e76a3b718c9d9ab13336021b.obj,2000,0.9275,0.7295374814143928,0.9760809934640544,False
Battery_630dd3e061ddbb38592b368dd25aa8a7_0.16041646232009568.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_630dd3e061ddbb38592b368dd25aa8a7_0.16041646232009568.h5,Battery,630dd3e061ddbb38592b368dd25aa8a7,0.8264226067,0.1604164623,meshes/Battery/630dd3e061ddbb38592b368dd25aa8a7.obj,2000,0.0005,9.901735847203186e-05,0.1980347169440637,False
Battery_7ecc6a361de0128ec8de11d571206924_0.0004936284190611575.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_7ecc6a361de0128ec8de11d571206924_0.0004936284190611575.h5,Battery,7ecc6a361de0128ec8de11d571206924,0.7860645563,0.0004936284,meshes/Battery/7ecc6a361de0128ec8de11d571206924.obj,2000,0.006,0.0055071615856741,0.9507091647910134,True
Battery_830285a269a59ea498fc5f87a7f37aac_0.08244881971276674.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_830285a269a59ea498fc5f87a7f37aac_0.08244881971276674.h5,Battery,830285a269a59ea498fc5f87a7f37aac,0.2074574768,0.0824488197,meshes/Battery/830285a269a59ea498fc5f87a7f37aac.obj,2000,0.047,0.0357826377739189,0.9309689491611894,False
Battery_97b155f96786759b958a354b52bd2c29_0.005584749003635671.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_97b155f96786759b958a354b52bd2c29_0.005584749003635671.h5,Battery,97b155f96786759b958a354b52bd2c29,0.0159168404,0.005584749,meshes/Battery/97b155f96786759b958a354b52bd2c29.obj,2000,0.735,0.520835130439795,0.9612791758419206,True
Battery_9ef02f2ccd82f254a780807144cc58d9_0.06148881793642273.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_9ef02f2ccd82f254a780807144cc58d9_0.06148881793642273.h5,Battery,9ef02f2ccd82f254a780807144cc58d9,0.0178836618,0.0614888179,meshes/Battery/9ef02f2ccd82f254a780807144cc58d9.obj,2000,0.927,0.7383920457968978,0.9793622202411516,False
Battery_a27f760d79386b7ae520afb34d7d31e4_0.0012864587429225628.h5,D:\3d-grasp-pose-estimation\dataset\grasps\Battery_a27f760d79386b7ae520afb34d7d31e4_0.0012864587429225628.h5,Battery,a27f760d79386b7ae520afb34d7d31e4,0.428097477,0.0012864587,meshes/Battery/a27f760d79386b7ae520afb34d7d31e4.obj,2000,0.0125,0.0110996334274345,0.9523563303691784,True
